age,gender,income,education,political_leaning,religious_level,donated_before,donation_frequency,trust_charities,charities_rated_by_effectiveness,objective_measures_help,charities_match_my_values,country,province,chosen_option,don_gender,don_age,don_identifiability,don_relatedness,don_num_recipients,don_cause,don_brand,don_location,don_region
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,,unnamed,,54,nutritious meals,,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,female,,unnamed,,146,nutritious meals,,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,adult,,,6,medication,high-recognition,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,,unnamed,,113,clean water,low-recognition,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,child,unnamed,,114,clean water,,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,male,,,,144,assault victim support,low-recognition,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,adult,,,32,assault victim support,low-recognition,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,senior,unnamed,,63,nutritious meals,,Western Europe,near
18.0,Male,119157.81,High school diploma,5,0,Yes,Less than once a month,0.73,0.6,0.94,0.49,France,Somme,1,,,unnamed,,73,clean water,high-recognition,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,female,,unnamed,,215,assault victim support,,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,,adult,,,203,clean water,high-recognition,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,,child,,,103,nutritious meals,high-recognition,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,0,,adult,unnamed,,34,nutritious meals,,North America,far
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,,,unnamed,,95,medication,,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,,adult,unnamed,,285,nutritious meals,,Western Europe,near
