option_id,prompt
1,"You have $100 to donate.
Would you support a charity that provides clean water to 139 unnamed strangers in North America through a unnamed charity?
"
2,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 20 unnamed strangers in North America through a low-recognition charity?
"
3,"You have $100 to donate.
Would you support a charity that provides assault victim support to 247 male seniors in Central Africa through a unnamed charity?
"
4,"You have $100 to donate.
Would you support a charity that provides medication to 155 unnamed relatives in North America through a unnamed charity?
"
5,"You have $100 to donate.
Would you support a charity that provides assault victim support to 65 female adults in North Africa through a low-recognition charity?
"
6,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 299 adult selfs in Eastern Europe through a high-recognition charity?
"
7,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 187 male selfs in SouthEast Asia through a unnamed charity?
"
8,"You have $100 to donate.
Would you support a charity that provides medication to 115 child relatives in Central America through a low-recognition charity?
"
9,"You have $100 to donate.
Would you support a charity that provides clean water to 270 unnamed strangers in South Africa through a low-recognition charity?
"
10,"You have $100 to donate.
Would you support a charity that provides clean water to 7 male unnameds in Central America through a low-recognition charity?
"
11,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 68 adult strangers in Eastern Europe through a low-recognition charity?
"
12,"You have $100 to donate.
Would you support a charity that provides medication to 241 adult unnameds in North Africa through a unnamed charity?
"
13,"You have $100 to donate.
Would you support a charity that provides clean water to 190 adult unnameds in North Africa through a unnamed charity?
"
14,"You have $100 to donate.
Would you support a charity that provides medication to 153 female childs in Central Africa through a high-recognition charity?
"
15,"You have $100 to donate.
Would you support a charity that provides assault victim support to 69 named selfs in Eastern Europe through a unnamed charity?
"
16,"You have $100 to donate.
Would you support a charity that provides clean water to 73 male strangers in South America through a low-recognition charity?
"
17,"You have $100 to donate.
Would you support a charity that provides assault victim support to 135 male adults in Eastern Europe through a low-recognition charity?
"
18,"You have $100 to donate.
Would you support a charity that provides medication to 52 child relatives in South Africa through a high-recognition charity?
"
19,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 266 senior nameds in Eastern Europe through a high-recognition charity?
"
20,"You have $100 to donate.
Would you support a charity that provides assault victim support to 96 adult unnameds in SouthEast Asia through a high-recognition charity?
"
21,"You have $100 to donate.
Would you support a charity that provides clean water to 168 adult selfs in SouthEast Asia through a low-recognition charity?
"
22,"You have $100 to donate.
Would you support a charity that provides assault victim support to 269 adult strangers in North Africa through a unnamed charity?
"
23,"You have $100 to donate.
Would you support a charity that provides medication to 129 adult unnameds in North Africa through a unnamed charity?
"
24,"You have $100 to donate.
Would you support a charity that provides medication to 179 senior nameds in North America through a low-recognition charity?
"
25,"You have $100 to donate.
Would you support a charity that provides medication to 73 unnamed strangers in Western Europe through a unnamed charity?
"
26,"You have $100 to donate.
Would you support a charity that provides medication to 20 female relatives in South Africa through a high-recognition charity?
"
27,"You have $100 to donate.
Would you support a charity that provides clean water to 78 unnamed strangers in Central America through a unnamed charity?
"
28,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 86 adult strangers in North Africa through a high-recognition charity?
"
29,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 234 female unnameds in South Africa through a high-recognition charity?
"
30,"You have $100 to donate.
Would you support a charity that provides assault victim support to 193 male nameds in Western Europe through a unnamed charity?
"
31,"You have $100 to donate.
Would you support a charity that provides clean water to 143 child unnameds in Central Africa through a unnamed charity?
"
32,"You have $100 to donate.
Would you support a charity that provides medication to 24 female adults in SouthEast Asia through a unnamed charity?
"
33,"You have $100 to donate.
Would you support a charity that provides clean water to 296 adult unnameds in Western Europe through a unnamed charity?
"
34,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 100 child nameds in Central America through a unnamed charity?
"
35,"You have $100 to donate.
Would you support a charity that provides clean water to 43 male strangers in North Africa through a low-recognition charity?
"
36,"You have $100 to donate.
Would you support a charity that provides clean water to 154 child selfs in North America through a high-recognition charity?
"
37,"You have $100 to donate.
Would you support a charity that provides medication to 209 senior relatives in SouthEast Asia through a low-recognition charity?
"
38,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 184 named selfs in South America through a low-recognition charity?
"
39,"You have $100 to donate.
Would you support a charity that provides assault victim support to 26 male childs in SouthEast Asia through a low-recognition charity?
"
40,"You have $100 to donate.
Would you support a charity that provides assault victim support to 206 female selfs in SouthEast Asia through a low-recognition charity?
"
41,"You have $100 to donate.
Would you support a charity that provides assault victim support to 33 male seniors in North America through a unnamed charity?
"
42,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 95 female relatives in North America through a high-recognition charity?
"
43,"You have $100 to donate.
Would you support a charity that provides assault victim support to 102 senior selfs in North America through a high-recognition charity?
"
44,"You have $100 to donate.
Would you support a charity that provides assault victim support to 54 adult nameds in South America through a high-recognition charity?
"
45,"You have $100 to donate.
Would you support a charity that provides assault victim support to 43 child nameds in SouthEast Asia through a high-recognition charity?
"
46,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 191 female unnameds in SouthEast Asia through a high-recognition charity?
"
47,"You have $100 to donate.
Would you support a charity that provides assault victim support to 189 male childs in Eastern Europe through a low-recognition charity?
"
48,"You have $100 to donate.
Would you support a charity that provides clean water to 187 male strangers in East Asia through a low-recognition charity?
"
49,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 29 unnamed relatives in Central America through a unnamed charity?
"
50,"You have $100 to donate.
Would you support a charity that provides clean water to 27 named strangers in Eastern Europe through a high-recognition charity?
"
51,"You have $100 to donate.
Would you support a charity that provides assault victim support to 188 unnamed relatives in Central America through a low-recognition charity?
"
52,"You have $100 to donate.
Would you support a charity that provides medication to 241 male nameds in East Asia through a high-recognition charity?
"
53,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 255 female strangers in Western Europe through a low-recognition charity?
"
54,"You have $100 to donate.
Would you support a charity that provides medication to 229 adult selfs in Central America through a unnamed charity?
"
55,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 252 named strangers in SouthEast Asia through a unnamed charity?
"
56,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 41 child unnameds in North America through a high-recognition charity?
"
57,"You have $100 to donate.
Would you support a charity that provides assault victim support to 57 female nameds in Central America through a low-recognition charity?
"
58,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 173 adult selfs in SouthEast Asia through a unnamed charity?
"
59,"You have $100 to donate.
Would you support a charity that provides assault victim support to 45 adult selfs in Eastern Europe through a high-recognition charity?
"
60,"You have $100 to donate.
Would you support a charity that provides clean water to 34 unnamed selfs in Central Africa through a low-recognition charity?
"
61,"You have $100 to donate.
Would you support a charity that provides assault victim support to 175 child selfs in Western Europe through a high-recognition charity?
"
62,"You have $100 to donate.
Would you support a charity that provides medication to 8 named strangers in East Asia through a low-recognition charity?
"
63,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 133 female nameds in North Africa through a unnamed charity?
"
